_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
114555,NONE,"Outdoor pool , Indoor exercise room",YES,YES,YES,YES,YES,Not Available,23,175,"JUN 1, 2017",NA,GYM,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING ,ORIGINAL,1966,ELECTRIC,NO,YES,NO,NO,YES,24 HOURS; 7 DAYS A WEEK,MAIN FLOOR,NO,175,4,3,10,NO,YES,"Underground Garage , Surface Parking",M6C,NA,YES,BARNEY RIVER INVESTMENT LTD.,PRIVATE,BACK OF BUILDING ,4154940,NO,NO,NO,111  RAGLAN AVE ,YES,YES,1966,YES,FREE,12,DOUBLE PANE,1967,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114556,INDIVIDUAL UNITS,NA,YES,YES,YES,YES,YES,Not Available,3,18,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,REAR,REPLACED,2014,FORCED AIR GAS,YES,YES,NO,NO,YES,24 HOUR,BASEMENT,NO,2,3,0,4,YES,YES,"Ground Level Garage , Surface Parking",M9W,DOG/CAT,YES,NA,PRIVATE,REAR,4155430,NO,YES,NO,2386  ISLINGTON AVE ,YES,YES,2008,NA,FREE,01,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114557,NONE,NA,YES,YES,YES,YES,NO,Not Available,3,17,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTISDE,REPLACED,2014,FORCED AIR GAS,YES,YES,NO,NO,YES,24HOURS,BASEMENT,YES,0,17,0,4,YES,YES,"Ground Level Garage , Surface Parking",M9W,NA,YES,NA,PRIVATE,OUTSIDE,4155431,NO,YES,NO,40  TORBOLTON DR ,YES,YES,1962,NA,UNAVAILABLE,01,SINGLE PANE,1962,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114558,NONE,NA,YES,NO,YES,YES,NO,Not Available,3,16,NA,NA,NA,NA,NA,NA,YES,YES,Green Bin / Organics,YES,NO,REAR OF BUILDING BESIDE GARAGE,REPLACED,2007,HOT WATER,NO,YES,NO,YES,YES,ALL DAY,BASEMENT,YES,0,0,0,4,NO,YES,"Ground Level Garage , Surface Parking",M9W,NONE,YES,ADDAR INVESTMENTS LTD.,PRIVATE,REAR OF BUILDING BESIDE GARAGE,4155432,NO,YES,NO,30  TORBOLTON DR ,YES,NO,1960,NA,UNAVAILABLE,01,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114559,NONE,Indoor recreation room,YES,YES,YES,NO,YES,Not Available,11,194,"OCT 3, 2013",NA,NA,NA,NA,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,1ST FLOOR,ORIGINAL,1977,ELECTRIC,YES,YES,YES,YES,YES,8AM - 9PM,IST FLOOR,YES,0,1,2,10,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9W,NA,YES,REXDALE PRESBYTERIAN SENIOR CITIZENS CORPORATION,SOCIAL HOUSING,IST FLOOR,4155446,NO,NO,NO,2314  ISLINGTON AVE ,YES,YES,1977,YES,FREE,01,DOUBLE PANE,1977,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114560,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 20 outdoor parking spots,13,153,"JAN 7, 2017",NA,NA,NA,"CONTROLLERS, MACHINE, CAB INTERIOR",REPLACED,YES,YES,Recycling bins,YES,YES,NA,REPLACED,2012,HOT WATER,YES,YES,NO,YES,YES,8:00 AM TO 10:00 PM ,GROUND LEVEL,NO,0,0,2,10,YES,YES,"Underground Garage , Ground Level Garage , Surface Parking",M9V,NA,NO,DIAMONDWOOD PROPERTY MANAGEMENT INC.,PRIVATE,SCREENED OUTDOOR AREA,4155447,NO,NO,NO,2435  KIPLING AVE ,YES,YES,1965,YES,FREE,01,DOUBLE PANE,1965,2001,2018,NA,NA,NA,NA,NA,NA,NA,NA
114561,NONE,NA,YES,YES,YES,NO,NO,Not Available,3,15,NA,NA,NA,NA,NA,NA,NA,NO,Recycling bins,YES,NO,NA,REPLACED,2018,HOT WATER,NO,NO,NO,NO,YES,1000 AM-1000 PM,BASEMENT,NO,0,0,0,2,NO,YES,NA,M1N,NA,YES,1034523 ONTARIO LTD,PRIVATE,DRIVEWAY,4156237,NO,YES,NO,1469  KINGSTON RD ,YES,YES,2000,NA,PAID,20,DOUBLE PANE,1940,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114562,NONE,Child play area,YES,YES,YES,YES,YES,Not Available,3,41,NA,HIGHLAND GYM PLAYGROUND,NA,NA,NA,NA,NA,NO,Unknown,YES,NO,NA,REPLACED,2010,ELECTRIC,NO,YES,YES,NO,YES,6:00AM TO 11:00PM,"IN EACH SECTION, 3 IN THE BUILDING",YES,2,2,0,6,NO,YES,"Underground Garage , Surface Parking",M1E,MAXIMUM 2 PER UNIT,YES,GABRIEL DUMONT NON-PROFIT HOMES ,SOCIAL HOUSING,NA,4156242,NO,NO,NO,4201  KINGSTON RD ,YES,NO,1985,NA,FREE,24,DOUBLE PANE,1985,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114563,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,16,300,"DEC 5, 2016",NA,NA,NA,FULL REPLACEMENT - GAL GALAXY ,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1964,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,14TH FLOOR,YES,5,6,3,30,YES,YES,Surface Parking,M5A,NA,YES,TCH,TCHC,EAST SIDE,4156250,NO,NO,NO,295  SHUTER ST ,YES,YES,1964,YES,PAID,13,DOUBLE PANE,1964,2016,2017,NA,NA,NA,NA,NA,NA,NA,NA
114564,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,15,378,"DEC 31, 2014",NEARBY SCHOOL WITH PARK,NA,"NEARBY TRACK, FOOTBALL FIELD AND PARK",FULL REPLACEMENT - MCE,REPLACED,YES,YES,Recycling bins,YES,YES,NA,ORIGINAL,1971,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1,6,2,16,YES,YES,Surface Parking,M1G,NA,YES,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,REAR OF BUILDING,4152829,NO,NO,NO,50  TUXEDO CRT ,YES,YES,1971,NO,BOTH,24,SINGLE PANE,1971,2007,2017,NA,NA,NA,NA,NA,NA,NA,NA
114565,NONE,Child play area,YES,YES,YES,YES,YES,Not Available,3,39,NA,HIGHLAND GYM PLAYGROUND INSTALLED,NA,NA,NA,NA,NA,NO,Unknown,YES,NO,NA,REPLACED,2010,ELECTRIC,NO,YES,YES,NO,YES,6:00AM TO 11:00PM,"IN EACH SECTION, MAIN FLOOR",YES,2,2,0,6,NO,YES,"Underground Garage , Surface Parking",M1E,MAXIMUM 2 4-LEGGEDS PER UNIT,YES,GABRIEL DUMONT NON-PROFIT HOMES ,SOCIAL HOUSING,NA,4152838,NO,NO,NO,4201-4203  KINGSTON RD ,YES,NO,1985,NA,FREE,24,DOUBLE PANE,1985,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114566,NONE,"Outdoor pool , Child play area",YES,YES,YES,YES,YES,0 indoor parking spots and 8 outdoor parking spots,12,141,"JAN 15, 2017",PLAYGROUND IN THE BACK SIDE OF 4000 LAWRENCE,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,REPLACED,2000,HOT WATER,NO,YES,NO,YES,YES,8:00AM TO 9:00PM,BASEMENT,NO,0,1,2,12,NO,YES,"Underground Garage , Garage accessible thru buildg",M1E,NA,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4152846,NO,YES,NO,4000  LAWRENCE AVE E,YES,YES,1967,YES,PAID,24,DOUBLE PANE,1967,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114567,NONE,NA,YES,YES,YES,YES,NO,Not Available,4,41,"JUL 20, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,NO,BACK OF BLDG.,REPLACED,2003,HOT WATER,NO,YES,NO,YES,YES,7 AM -10 PM,BASEMENT,NO,0,8,1,6,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3M,NA,NO,NA,PRIVATE,BACK OF BLDG.,4154440,NO,NO,NO,2960  KEELE ST ,YES,YES,1965,YES,FREE,06,DOUBLE PANE,1965,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
114568,NONE,NA,YES,YES,YES,YES,NO,Not Available,4,31,NA,NA,NA,NA,NA,NA,NA,NO,Unknown,YES,NO,NA,REPLACED,2010,HOT WATER,NO,YES,NO,NO,YES,24,BSMT,NO,0,0,0,3,NO,YES,"Ground Level Garage , Surface Parking",M3M,NA,NO,1636367 ONTARIO INC,PRIVATE,NA,4154443,NO,YES,NO,3018  KEELE ST ,NO,NA,NA,NA,FREE,06,DOUBLE PANE,1955,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114569,NONE,Child play area,YES,NO,YES,YES,NO,Not Available,5,71,"SEP 5, 2014",PLAY STRUCTURE WITH SLIDE,NA,NA,MECHANICAL ELEVATOR MODERNIZATION AND CAB INTERIOR,REPLACED,YES,NO,Green Bin / Organics,YES,YES,WEST SIDE OF BUILDING,ORIGINAL,1959,HOT WATER,NO,YES,NO,YES,YES,8 AM TO 10 PM,BASEMENT,YES,0,0,1,8,NO,YES,Surface Parking,M3M,AS PER LEASE AGREEMENT,YES,BRIARLANE RENTAL PROPERTY MANAGEMENT INC.,PRIVATE,WEST SIDE OF BUILDING,4154446,NO,YES,NO,27  SEELEY DR ,YES,YES,1959,YES,UNAVAILABLE,06,DOUBLE PANE,1959,2000,2017,NA,NA,NA,NA,NA,NA,NA,NA
114570,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 14 outdoor parking spots,4,48,"AUG 30, 2017",NA,NA,NA,ALL PARTS,REPLACED,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2007,HOT WATER,NO,YES,NO,NO,YES,ALL HOURS,3RD FLOOR,YES,0,0,1,6,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3M,MUST BE LICENSED,YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,TOTES IN THE BREEZEWAY,4154459,NO,YES,NO,41-51  BROOKWELL DR ,YES,YES,1966,YES,UNAVAILABLE,06,THERMAL,1966,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA
114571,NONE,Indoor recreation room,YES,YES,YES,NO,YES,Not Available,3,238,"SEP 1, 2016",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,NO,REAR OF BUILDING,ORIGINAL,1970,HOT WATER,NO,YES,NO,YES,NO,NA,NA,NO,2,4,2,NA,YES,NO,Surface Parking,M3J,NA,YES,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,REAR OF BUILDING,4154465,NO,NO,NO,3680  KEELE ST ,YES,YES,1970,YES,BOTH,07,SINGLE PANE,1970,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114572,NONE,NA,YES,YES,YES,NO,NO,0 indoor parking spots and 12 outdoor parking spots,4,24,NA,NA,NA,NA,NA,NA,NA,YES,Green Bin / Organics,YES,NO,ALLEY BETWEEN 1520 BATHURST ST AND 1524 BATHURST ST BUILDINGS,REPLACED,2014,HOT WATER,NO,YES,NO,NO,YES,8.00 AM - 10.00 PM,BASEMENT,YES,0,0,0,4,NO,YES,NA,M5P,NA,YES,BATHCLAIR PROPERTIES INC. ,PRIVATE,ALLEY BETWEEN 1520 BATHURST ST AND 1524 BATHURST ST BUILDINGS,4154951,NO,YES,NO,1524  BATHURST ST ,YES,YES,1990,NA,UNAVAILABLE,12,DOUBLE PANE,1932,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114573,NONE,NA,YES,NO,YES,NO,NO,0 indoor parking spots and 0 outdoor parking spots,4,32,NA,NA,NA,NA,NA,NA,NA,YES,Recycling bins,YES,NO,NA,REPLACED,1980,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0,0,0,4,NO,YES,NA,M6C,NA,YES,PHC INC. ,PRIVATE,NORTH SIDE OF BUILDING,4154956,NO,NO,NO,101  VAUGHAN RD ,NO,NA,NA,NA,UNAVAILABLE,12,SINGLE PANE,1920,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114574,NONE,NA,YES,NO,YES,NO,NO,Not Available,4,31,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,1975,HOT WATER,NO,YES,NO,NO,YES,8:00 - 9:00,BASEMENT,NO,0,0,0,4,YES,NO,NA,M6C,NA,NO,NA,PRIVATE,OUTSIDE,4154967,NO,NO,NO,105  KENWOOD AVE ,NO,NA,NA,NA,UNAVAILABLE,12,DOUBLE PANE,1950,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114575,NA,NA,NA,NA,NA,NA,NA, indoor parking spots and  outdoor parking spots,3,11,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M6C,NA,NA,NA,PRIVATE,NA,4154973,NA,NA,NA,8  PINEWOOD AVE ,NA,NA,NA,NA,NA,12,SINGLE PANE,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114576,NONE,NA,YES,YES,YES,NO,NO,Not Available,4,29,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,YES,CURB,REPLACED,2016,HOT WATER,YES,YES,NO,NO,YES,24HR,MAIN FLOOR,NO,0,0,0,4,NO,NO,NA,M6C,NA,YES,HOMES FIRST SOCIETY,SOCIAL HOUSING,CURB,4154974,NO,NO,NO,175  VAUGHAN RD ,YES,YES,1992,NA,UNAVAILABLE,12,SINGLE PANE,1929,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114577,NONE,NA,YES,YES,YES,YES,YES,Not Available,12,92,"JAN 1, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,1985,HOT WATER,YES,YES,NO,YES,YES,7-11,1ST FLOOR,YES,0,0,2,8,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9V,NO DOGS ALLOWED,YES,MARQUIS HOLDINGS LP,PRIVATE,REAR OF BUILDING,4155461,NO,NO,NO,1865  MARTIN GROVE RD ,YES,YES,1985,YES,FREE,01,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114578,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 10 outdoor parking spots,3,16,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2008,FORCED AIR GAS,NO,YES,NO,NO,YES,24 HOURS,BOTTOM FLOOR,NO,0,2,0,4,NO,YES,Surface Parking,M8V,NA,YES,NA,SOCIAL HOUSING,OUTSIDE,4155473,NO,NO,NO,110  STANLEY AVE ,NO,NA,NA,NA,FREE,03,DOUBLE PANE,1959,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114579,NONE,NA,YES,YES,YES,YES,NO,4 indoor parking spots and 4 outdoor parking spots,8,132,"OCT 21, 2016",NA,NA,NA,ELEVATOR CABS AND ALL CONTROLS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,UNDERGROUND GARAGE,REPLACED,2016,HOT WATER,YES,YES,NO,YES,YES,10A.M. TO 10P.M.,GROUND FLOOR,YES,0,1,2,12,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M8V,NA,YES,PARK PROPERTY MANAGEMENT INC,PRIVATE,UNDERGROUND GARAGE,4155478,NO,NO,NO,2335  LAKE SHORE BLVD W,YES,YES,1967,YES,FREE,03,SINGLE PANE,1967,2010,2017,NA,NA,NA,NA,NA,NA,NA,NA
114580,NONE,NA,YES,YES,YES,NO,NO,Not Available,3,16,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,"REAR OF BUILDING, NORTH EAST CORNER",ORIGINAL,1956,HOT WATER,NO,YES,NO,NO,YES,9AM TO 9PM,1ST FLOOR,NO,0,0,0,4,YES,YES,"Ground Level Garage , Surface Parking",M1L,NA,NO,EXCEL PROPERTY MANAGEMENT,PRIVATE,"REAR OF BUILDING, NORTH EAST CORNER",4156306,NO,YES,NO,3222  ST CLAIR AVE E,YES,YES,1956,NA,FREE,20,SINGLE PANE,1952,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114581,NONE,NA,YES,YES,YES,YES,YES,Not Available,14,165,"JAN 1, 2017",NA,NA,NA,MODERIZATION,REPLACED,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2011,HOT WATER,NO,YES,NO,NO,YES,8AM TO 10PM,BASEMENT,NO,2,6,3,12,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1E,NA,NO,Q RESIDENTIAL,PRIVATE,BACK OF PROPERTY,4152848,NO,YES,NO,280  MORNINGSIDE AVE ,YES,YES,1972,YES,FREE,24,DOUBLE PANE,1972,2018,2017,NA,NA,NA,NA,NA,NA,NA,NA
114582,CENTRAL AIR,Outdoor pool,YES,YES,YES,YES,NO,0 indoor parking spots and 21 outdoor parking spots,21,281,"AUG 28, 2017",NA,NA,NA,COMPLETE ELEVATOR MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK END OF THE BUILDING ,REPLACED,2012,HOT WATER,NO,YES,NO,YES,YES,8:00AM TO 9:00PM ,BASEMENT,YES,0,1,3,28,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1T,NA,YES,CAPREIT,PRIVATE,BACK END OF THE BUILDING IN A SECURED AREA,4152859,NO,YES,NO,25  BAY MILLS BLVD ,YES,YES,1974,YES,PAID,22,DOUBLE PANE,1974,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
114583,NONE,NA,YES,YES,YES,YES,YES,Not Available,5,44,"AUG 15, 2014",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,YES,NORTH SIDE OF BUILDING,REPLACED,2013,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,BASEMENT ,YES,0,0,1,8,NO,NO,"Underground Garage , Ground Level Garage , Surface Parking",M1T,NA,YES,TAM O'SHANTER APARTMENTS,PRIVATE,NORTH SIDE OF BUILDING,4152867,NO,NO,NO,2237  BIRCHMOUNT RD ,YES,YES,1967,NO,FREE,22,DOUBLE PANE,1967,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114584,NONE,NA,YES,YES,YES,YES,YES,Not Available,5,27,"AUG 15, 2014",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,YES,NORTH SIDE OF BUILDING,ORIGINAL,1974,ELECTRIC,YES,YES,NO,NO,YES,24 HOURS,BASEMENT ,NO,0,0,1,6,NO,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M1T,NA,YES,TAM O'SHANTER APARTMENTS,PRIVATE,NORTH SIDE OF BUILDING,4152868,NO,NO,NO,2241  BIRCHMOUNT RD ,YES,YES,1974,NO,FREE,22,DOUBLE PANE,1974,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114585,NONE,Outdoor pool,YES,YES,YES,YES,YES,0 indoor parking spots and 15 outdoor parking spots,22,370,"MAY 18, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,ORIGINAL,1973,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT,NO,0,0,4,38,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3J,NA,YES,RANEE MANAGEMENT,PRIVATE,BACK OF BUILDING,4154475,NO,NO,NO,35  FOUNTAINHEAD RD ,YES,YES,1973,NO,FREE,07,DOUBLE PANE,1973,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114586,NONE,Outdoor pool,YES,YES,YES,YES,YES,0 indoor parking spots and 15 outdoor parking spots,22,370,"MAY 18, 2017",NA,NA,NA,ENTIRE ELEVATOR; MACHINERY & CABIN,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,ORIGINAL,1968,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT,NO,0,0,4,38,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3J,NA,YES,RANEE MANAGEMENT,PRIVATE,BACK OF BUILDING,4154476,NO,NO,NO,1  FOUNTAINHEAD RD ,YES,YES,1968,NO,FREE,07,DOUBLE PANE,1968,2016,2017,NA,NA,NA,NA,NA,NA,NA,NA
114587,NONE,"Indoor exercise room , Child play area",YES,YES,YES,YES,YES,18 indoor parking spots and 0 outdoor parking spots,15,187,"OCT 19, 2016",INDOORS,ACCESSIBLE THROUGH LEVEL B,NA,NA,ORIGINAL,NO,NO,Recycling bins,YES,YES,NA,REPLACED,2016,HOT WATER,NO,YES,NO,YES,YES,7AM - 11PM,MAIN FLOOR,YES,1,0,2,16,YES,YES,"Underground Garage , Garage accessible thru buildg",M6B,NA,YES,MEDALLION CORPORATION,PRIVATE,OUTDOORS,4154483,NO,NO,NO,120  SHELBORNE AVE ,YES,YES,1965,NO,FREE,08,DOUBLE PANE,1965,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114588,NONE,NA,YES,YES,YES,YES,NO,Not Available,4,31,"SEP 23, 2021",NO,NA,NA,ALL EQUIPMENT,REPLACED,NO,NO,Green Bin / Organics,YES,NO,OUTSIDE IN GARAGE IN A BIN CLOSURE,REPLACED,2001,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR HALLWAY ,YES,0,0,1,8,YES,YES,Surface Parking,M6B,NA,YES,AKELIUS CANADA LTD,PRIVATE,OUTSIDE IN GARAGE IN A BIN CLOSURE,4154486,NO,YES,NO,457  MARLEE AVE ,YES,YES,1965,YES,UNAVAILABLE,08,DOUBLE PANE,1966,2018,2019,NA,NA,NA,NA,NA,NA,NA,NA
114589,NA,NA,NA,NA,NA,NA,NA, indoor parking spots and  outdoor parking spots,3,10,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M6A,NA,NA,NA,PRIVATE,NA,4154488,NA,NA,NA,773  LAWRENCE AVE W,NA,NA,NA,NA,NA,08,DOUBLE PANE,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114590,NONE,NA,YES,YES,YES,YES,NO,Not Available,3,10,NA,NA,NA,NA,NA,NA,NA,YES,Green Bin / Organics,YES,NO,ON CORONA AVE,REPLACED,2000,HOT WATER,NO,YES,NO,NO,YES,7AM -10:00PM,LOWER LEVEL,NO,0,10,0,1,YES,YES,"Ground Level Garage , Surface Parking",M6A,NA,NO,ANNA NUZZO,PRIVATE,ON CORONA AVE.,4154489,NO,YES,NO,771  LAWRENCE AVE W,NO,NA,NA,NA,UNAVAILABLE,08,DOUBLE PANE,1959,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
114591,NONE,NA,YES,NO,NO,NO,NO,Not Available,7,47,"MAR 23, 2015",NA,NA,NA,HOIST ROPES,REPLACED,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2016,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,SECOND FLOOR,YES,0,44,1,4,NO,YES,"Underground Garage , Garage accessible thru buildg",M6A,NA,YES,NA,PRIVATE,ON THE SIDE OF THE BUILDING,4154499,NO,YES,NO,3690  BATHURST ST ,YES,NO,1964,YES,UNAVAILABLE,08,DOUBLE PANE,1964,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
114592,NONE,NA,YES,YES,YES,NO,NO,Not Available,6,31,"JAN 1, 2001",NA,NA,NA,MANY PARTS,REPLACED,NA,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,1990,HOT WATER,NO,YES,NO,NO,YES,8:00 - 9:00,BASEMENT,NO,0,8,1,4,NO,YES,Ground Level Garage,M6C,NA,NO,NA,PRIVATE,OUTSIDE,4154982,NO,NO,NO,214  VAUGHAN RD ,NO,NA,NA,NO,UNAVAILABLE,12,SINGLE PANE,1955,1989,2017,NA,NA,NA,NA,NA,NA,NA,NA
114593,NONE,NA,YES,YES,YES,NO,NO,Not Available,4,22,NA,NA,NA,NA,NA,NA,YES,NO,Green Bin / Organics,YES,NO,SIDE OF BUILDING,REPLACED,2013,HOT WATER,NO,YES,NO,YES,NO,NA,NA,NO,0,0,0,NA,NO,YES,Surface Parking,M6C,DOMESTIC CAT OR DOG NOT EXCEEDING 25 POUNDS IN WEIGHT,YES,NA,PRIVATE,SIDE OF BUILDING,4154984,NO,NO,NO,180  VAUGHAN RD ,NO,NA,NA,NA,UNAVAILABLE,12,SINGLE PANE,1955,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
