entrance_accessibility,inaccessible_units,accessible_units,percent_accessible,year_built,year_of_replacement,property_type,ward
YES,25,5,16.666666666666664,1965,2015,PRIVATE,07
YES,0,263,100,1972,NA,PRIVATE,07
YES,183,0,0,1960,2009,PRIVATE,07
YES,386,3,0.7712082262210797,1972,2008,TCHC,06
NO,61,0,0,1965,NA,PRIVATE,15
NO,32,0,0,1956,2017,PRIVATE,03
NO,11,0,0,1956,NA,PRIVATE,20
NO,371,0,0,1975,NA,PRIVATE,13
YES,58,3,4.918032786885246,2009,NA,TCHC,13
NO,30,0,0,1955,NA,PRIVATE,21
NO,34,0,0,1954,NA,PRIVATE,21
NO,54,0,0,1954,NA,PRIVATE,21
NO,35,0,0,1958,NA,PRIVATE,21
NO,26,0,0,1954,NA,PRIVATE,21
NO,67,0,0,1964,2013,PRIVATE,21
NO,43,0,0,1958,NA,PRIVATE,21
NO,43,0,0,1960,2017,PRIVATE,21
YES,0,121,100,1970,NA,PRIVATE,07
YES,172,4,2.272727272727273,1984,2010,TCHC,07
NO,151,0,0,1967,2011,PRIVATE,07
NA,40,0,0,1966,NA,PRIVATE,07
NO,346,0,0,1973,2003,PRIVATE,16
NO,217,0,0,1966,NA,PRIVATE,16
NO,218,0,0,1968,2013,PRIVATE,16
YES,284,0,0,1966,2010,PRIVATE,16
YES,55,0,0,1961,2010,PRIVATE,16
NO,35,0,0,1962,NA,PRIVATE,03
NO,33,0,0,1960,NA,PRIVATE,03
NO,58,0,0,1961,2015,PRIVATE,03
NO,16,0,0,1954,NA,PRIVATE,03
NO,143,0,0,1960,2009,PRIVATE,13
NO,16,0,0,1952,NA,PRIVATE,20
YES,324,2,0.6134969325153374,1971,2016,TCHC,05
YES,87,0,0,1959,2013,PRIVATE,20
YES,219,5,2.232142857142857,1970,2016,TCHC,05
YES,66,3,4.3478260869565215,1962,2012,PRIVATE,21
YES,5,89,94.68085106382979,1971,NA,PRIVATE,20
NO,12,0,0,1950,NA,PRIVATE,05
NO,10,0,0,1958,NA,PRIVATE,05
NO,40,0,0,1950,2013,PRIVATE,16
NO,12,0,0,1960,NA,PRIVATE,16
YES,152,1,0.6535947712418301,1968,NA,PRIVATE,17
NO,25,0,0,1943,NA,PRIVATE,02
YES,216,0,0,1969,NA,PRIVATE,12
NO,169,0,0,1968,NA,PRIVATE,20
NO,79,0,0,1958,NA,PRIVATE,20
NO,20,0,0,1965,NA,PRIVATE,21
YES,0,19,100,1965,NA,PRIVATE,05
NO,29,0,0,1960,NA,PRIVATE,05
NO,12,0,0,1955,NA,PRIVATE,05
YES,99,1,1,1994,NA,SOCIAL HOUSING,05
NO,179,1,0.5555555555555556,1967,2004,PRIVATE,17
YES,92,0,0,1982,2005,PRIVATE,16
NO,41,0,0,1955,NA,PRIVATE,02
YES,96,0,0,1966,2016,PRIVATE,02
NO,156,0,0,1973,2012,PRIVATE,02
YES,106,0,0,1970,2007,PRIVATE,02
YES,107,0,0,1961,2007,PRIVATE,25
YES,76,4,5,1992,2014,SOCIAL HOUSING,01
NO,238,0,0,1979,2015,PRIVATE,23
NO,64,0,0,1962,NA,PRIVATE,21
YES,253,1,0.39370078740157477,1969,NA,PRIVATE,21
YES,0,181,100,1965,2004,PRIVATE,24
YES,58,2,3.3333333333333335,1962,2004,PRIVATE,24
NO,10,0,0,1950,NA,PRIVATE,05
NO,12,0,0,1960,NA,PRIVATE,06
NO,11,0,0,1955,NA,PRIVATE,06
YES,117,0,0,1982,2015,PRIVATE,16
YES,64,2,3.0303030303030303,1951,2013,PRIVATE,16
NO,52,0,0,1955,2012,PRIVATE,16
NO,78,0,0,1962,2004,PRIVATE,16
YES,26,3,10.344827586206897,1962,2009,PRIVATE,02
YES,110,3,2.6548672566371683,1959,NA,PRIVATE,02
NO,149,0,0,1965,NA,PRIVATE,02
YES,150,2,1.3157894736842104,1974,2012,PRIVATE,02
NO,108,0,0,1968,2009,PRIVATE,02
YES,129,0,0,1969,NA,PRIVATE,01
YES,172,0,0,1963,2015,PRIVATE,21
YES,142,2,1.3888888888888888,1972,2014,PRIVATE,21
NO,58,0,0,1960,2016,PRIVATE,21
YES,18,0,0,1960,NA,PRIVATE,20
YES,90,0,0,1964,2000,PRIVATE,20
NO,42,0,0,1955,NA,PRIVATE,06
YES,81,0,0,1960,2017,PRIVATE,06
NO,16,0,0,1896,NA,PRIVATE,13
YES,144,1,0.6896551724137931,1985,2008,TCHC,13
YES,50,0,0,2011,NA,SOCIAL HOUSING,11
NO,10,0,0,1948,NA,PRIVATE,12
NO,10,0,0,1960,NA,PRIVATE,12
YES,172,0,0,1968,2001,PRIVATE,08
NO,47,0,0,1928,NA,PRIVATE,13
NO,34,0,0,1950,NA,PRIVATE,19
NO,15,0,0,1918,NA,PRIVATE,13
NO,27,0,0,1940,NA,PRIVATE,13
NO,16,0,0,1888,NA,PRIVATE,13
NO,76,0,0,1963,NA,PRIVATE,13
NO,172,0,0,1970,NA,PRIVATE,13
NO,39,0,0,1929,2011,PRIVATE,13
YES,121,0,0,1971,2007,PRIVATE,19
YES,380,3,0.7832898172323759,1969,2010,PRIVATE,19
YES,303,0,0,1971,2011,PRIVATE,19
NO,35,0,0,1965,2012,PRIVATE,04
NO,221,0,0,1960,2000,PRIVATE,13
YES,77,0,0,1960,NA,PRIVATE,13
NO,260,0,0,1965,2006,PRIVATE,13
YES,411,0,0,2016,NA,PRIVATE,13
YES,84,0,0,1960,2005,PRIVATE,13
YES,559,2,0.35650623885918004,1973,2015,PRIVATE,13
NO,42,0,0,1957,NA,PRIVATE,14
YES,28,1,3.4482758620689653,1958,NA,PRIVATE,14
NO,16,0,0,1914,NA,PRIVATE,04
NO,16,0,0,1940,NA,PRIVATE,04
YES,30,0,0,1997,NA,SOCIAL HOUSING,04
NO,108,0,0,1963,NA,PRIVATE,04
YES,41,0,0,1992,NA,SOCIAL HOUSING,14
YES,23,2,8,1961,NA,TCHC,13
NO,13,0,0,1880,NA,PRIVATE,13
NO,20,0,0,1959,2018,PRIVATE,04
YES,239,0,0,1964,2014,PRIVATE,13
NA,13,0,0,1921,NA,PRIVATE,14
NO,44,0,0,1960,NA,PRIVATE,04
NO,15,0,0,1952,NA,PRIVATE,04
NO,15,0,0,1900,NA,PRIVATE,04
YES,74,3,3.896103896103896,1988,NA,SOCIAL HOUSING,14
NO,15,0,0,1990,NA,PRIVATE,14
YES,75,0,0,1990,NA,SOCIAL HOUSING,04
YES,37,1,2.631578947368421,1967,NA,PRIVATE,04
NO,66,0,0,1952,2014,PRIVATE,04
YES,53,0,0,1985,NA,SOCIAL HOUSING,14
YES,26,1,3.7037037037037033,1928,2011,TCHC,19
NO,30,0,0,1925,NA,PRIVATE,19
NO,15,0,0,1934,NA,PRIVATE,19
NO,75,0,0,1950,2011,PRIVATE,19
NO,15,0,0,1950,NA,PRIVATE,19
NO,38,0,0,1977,NA,PRIVATE,19
YES,96,1,1.0309278350515463,1987,NA,SOCIAL HOUSING,19
YES,200,0,0,1989,NA,SOCIAL HOUSING,10
YES,46,4,8,1987,2013,SOCIAL HOUSING,10
YES,107,5,4.464285714285714,1967,2006,SOCIAL HOUSING,09
YES,145,2,1.3605442176870748,1962,2012,TCHC,19
NO,38,0,0,1955,2012,PRIVATE,11
YES,94,9,8.737864077669903,1972,2015,SOCIAL HOUSING,11
NO,40,0,0,1960,NA,PRIVATE,11
NO,24,0,0,1929,NA,PRIVATE,11
NO,157,0,0,1963,2017,PRIVATE,11
NO,30,0,0,1957,NA,PRIVATE,12
YES,399,2,0.4987531172069825,1969,2017,PRIVATE,12
NO,27,0,0,1930,NA,PRIVATE,15
NO,48,0,0,1952,NA,PRIVATE,11
YES,11,1,8.333333333333332,1989,NA,TCHC,11
YES,131,0,0,1974,2013,PRIVATE,07
NO,16,0,0,1970,NA,PRIVATE,04
YES,120,7,5.511811023622047,1993,NA,SOCIAL HOUSING,12
NO,121,0,0,1964,2010,PRIVATE,12
NO,15,0,0,1955,NA,PRIVATE,15
YES,57,0,0,1963,2002,PRIVATE,15
YES,264,2,0.7518796992481203,1981,2002,TCHC,12
YES,98,1,1.0101010101010102,1972,2007,TCHC,12
NO,11,0,0,1956,NA,PRIVATE,08
YES,0,34,100,1958,NA,PRIVATE,08
NO,86,0,0,1968,2023,PRIVATE,12
NO,44,0,0,1959,NA,PRIVATE,08
NO,64,0,0,1959,2015,PRIVATE,08
NO,26,0,0,1950,NA,PRIVATE,03
YES,235,1,0.423728813559322,1972,2013,TCHC,21
YES,183,1,0.5434782608695652,1971,1999,TCHC,21
NO,10,0,0,1917,NA,PRIVATE,19
YES,20,1,4.761904761904762,1984,NA,TCHC,19
YES,18,12,40,2002,NA,SOCIAL HOUSING,19
YES,138,0,0,1985,2015,SOCIAL HOUSING,19
NO,18,0,0,1994,NA,SOCIAL HOUSING,10
NO,11,0,0,1940,NA,PRIVATE,09
YES,105,0,0,2013,NA,PRIVATE,17
YES,0,66,100,1957,2014,PRIVATE,11
YES,411,0,0,1967,NA,PRIVATE,12
YES,0,356,100,1967,1995,PRIVATE,09
YES,0,78,100,1970,2010,PRIVATE,11
NO,15,0,0,1965,NA,PRIVATE,11
NO,20,0,0,1913,NA,PRIVATE,11
NO,16,0,0,1900,NA,PRIVATE,11
NA,36,0,0,1955,NA,PRIVATE,11
NO,313,0,0,1970,2014,PRIVATE,12
YES,127,1,0.78125,1970,2001,TCHC,24
YES,197,1,0.5050505050505051,1971,NA,TCHC,24
YES,112,1,0.8849557522123894,1963,NA,PRIVATE,16
NO,153,0,0,1978,NA,PRIVATE,22
YES,236,2,0.8403361344537815,1970,1996,TCHC,24
YES,0,219,100,1967,2009,PRIVATE,16
NO,36,0,0,1959,NA,PRIVATE,15
NO,51,0,0,1964,2013,PRIVATE,15
NO,11,0,0,1953,NA,PRIVATE,06
YES,0,30,100,1958,NA,PRIVATE,06
YES,27,1,3.571428571428571,1960,NA,PRIVATE,09
YES,20,0,0,1970,NA,PRIVATE,09
NO,21,0,0,1957,NA,PRIVATE,05
YES,89,8,8.24742268041237,1993,2018,SOCIAL HOUSING,05
NO,29,0,0,1953,NA,PRIVATE,05
NO,29,0,0,1950,NA,PRIVATE,05
NO,25,0,0,1960,NA,PRIVATE,05
YES,235,2,0.8438818565400843,1969,NA,TCHC,22
YES,152,4,2.564102564102564,1977,2009,TCHC,12
YES,167,0,0,1974,2008,PRIVATE,22
NO,22,0,0,1956,NA,PRIVATE,16
NO,112,0,0,1962,2006,PRIVATE,07
NO,15,0,0,1961,NA,PRIVATE,15
NO,31,0,0,1957,2017,PRIVATE,15
YES,250,0,0,1969,2008,PRIVATE,15
NO,23,0,0,1930,NA,PRIVATE,15
NO,40,0,0,1955,2016,PRIVATE,14
NO,40,0,0,1927,NA,PRIVATE,14
YES,118,0,0,1968,NA,PRIVATE,14
NO,47,0,0,1951,NA,PRIVATE,05
NO,36,0,0,1951,NA,PRIVATE,05
NO,40,0,0,1950,NA,PRIVATE,05
NO,28,0,0,1953,NA,PRIVATE,05
YES,251,4,1.5686274509803921,1983,2010,TCHC,05
YES,29,1,3.3333333333333335,1957,NA,TCHC,08
YES,300,4,1.3157894736842104,1968,2001,TCHC,05
NO,305,0,0,1968,NA,PRIVATE,16
YES,92,6,6.122448979591836,2009,NA,SOCIAL HOUSING,13
YES,43,5,10.416666666666668,1974,NA,TCHC,08
YES,176,4,2.2222222222222223,2009,NA,TCHC,13
YES,121,0,0,1966,2017,PRIVATE,14
YES,0,84,100,1970,2011,PRIVATE,14
YES,134,0,0,1970,2010,PRIVATE,14
NO,44,0,0,1953,NA,PRIVATE,14
YES,10,2,16.666666666666664,1959,NA,PRIVATE,06
YES,59,1,1.6666666666666667,1968,NA,PRIVATE,06
YES,0,74,100,1963,2011,PRIVATE,06
NO,11,0,0,1950,NA,PRIVATE,05
YES,91,15,14.150943396226415,1991,NA,SOCIAL HOUSING,12
YES,289,0,0,1987,2009,PRIVATE,10
NO,72,0,0,1960,2006,PRIVATE,21
NO,60,0,0,1962,2017,PRIVATE,15
YES,60,0,0,1959,NA,PRIVATE,15
NO,20,0,0,1955,NA,PRIVATE,08
NO,0,20,100,1960,NA,PRIVATE,08
NO,26,0,0,1955,NA,PRIVATE,08
NO,152,0,0,1969,2005,PRIVATE,08
YES,110,1,0.9009009009009009,1992,NA,SOCIAL HOUSING,08
YES,0,88,100,1971,2017,PRIVATE,01
YES,51,3,5.555555555555555,2003,NA,TCHC,12
YES,368,1,0.27100271002710025,1974,2016,TCHC,05
NO,10,0,0,1968,NA,PRIVATE,05
NO,69,0,0,1965,2009,PRIVATE,15
NO,19,0,0,1953,NA,PRIVATE,15
NO,32,0,0,1955,NA,PRIVATE,07
YES,83,0,0,1965,1999,PRIVATE,06
YES,297,4,1.3289036544850499,1980,2005,TCHC,06
NO,39,0,0,1959,2017,PRIVATE,18
NO,48,0,0,1958,2018,PRIVATE,04
NO,60,0,0,1960,NA,PRIVATE,03
NO,183,0,0,1973,2017,PRIVATE,03
YES,168,8,4.545454545454546,1984,NA,SOCIAL HOUSING,01
YES,425,38,8.207343412526997,2013,NA,PRIVATE,10
YES,259,24,8.480565371024735,2012,NA,PRIVATE,03
YES,0,202,100,1970,NA,PRIVATE,20
NO,24,0,0,1950,NA,PRIVATE,20
YES,103,0,0,2003,NA,PRIVATE,10
YES,60,1,1.639344262295082,1982,2014,TCHC,13
NO,60,0,0,1980,2017,PRIVATE,13
NO,46,0,0,1934,2016,PRIVATE,12
NO,122,0,0,1962,2017,PRIVATE,12
YES,0,157,100,1957,2015,PRIVATE,12
YES,0,157,100,1957,NA,PRIVATE,12
NO,41,0,0,1954,NA,PRIVATE,12
YES,138,1,0.7194244604316548,1991,NA,TCHC,10
YES,16,1,5.88235294117647,1923,NA,TCHC,10
NO,18,0,0,1903,NA,PRIVATE,11
NO,102,0,0,1961,2001,PRIVATE,08
YES,0,78,100,1962,2016,PRIVATE,08
YES,56,1,1.7543859649122806,1941,NA,TCHC,08
NO,229,0,0,1967,2008,PRIVATE,08
YES,0,76,100,1974,2010,PRIVATE,08
YES,117,8,6.4,1988,NA,SOCIAL HOUSING,08
NO,52,0,0,1953,2021,PRIVATE,08
YES,131,1,0.7575757575757576,1986,2004,TCHC,13
YES,102,0,0,1973,2012,PRIVATE,13
NO,18,0,0,1950,NA,PRIVATE,12
NO,10,0,0,1952,NA,PRIVATE,12
NO,22,0,0,1960,NA,PRIVATE,08
NO,17,0,0,1900,NA,PRIVATE,11
NA,10,0,0,1932,NA,PRIVATE,11
YES,332,2,0.5988023952095809,1971,2003,PRIVATE,11
NA,62,0,0,1959,NA,PRIVATE,11
NO,35,0,0,1927,NA,PRIVATE,13
YES,67,5,6.944444444444445,1993,NA,TCHC,13
YES,136,18,11.688311688311687,1994,2013,SOCIAL HOUSING,13
NO,50,0,0,1950,NA,PRIVATE,08
NO,272,0,0,1955,2010,PRIVATE,08
NO,27,0,0,1940,NA,PRIVATE,08
NO,122,0,0,1960,NA,PRIVATE,19
YES,0,43,100,1959,NA,PRIVATE,19
YES,57,1,1.7241379310344827,1962,2017,PRIVATE,19
NA,16,0,0,1925,NA,PRIVATE,13
NO,26,0,0,1928,NA,PRIVATE,13
YES,33,2,5.714285714285714,1994,NA,TCHC,13
NO,18,0,0,1910,NA,PRIVATE,04
NO,48,0,0,1928,NA,PRIVATE,13
YES,262,0,0,1959,2003,PRIVATE,13
NO,83,0,0,1950,2014,PRIVATE,14
NO,21,0,0,1924,NA,PRIVATE,04
NO,233,0,0,1973,2015,PRIVATE,04
YES,21,0,0,1992,NA,SOCIAL HOUSING,04
YES,251,0,0,1964,2011,PRIVATE,04
NO,54,0,0,1959,NA,PRIVATE,04
NO,60,0,0,1988,NA,SOCIAL HOUSING,13
NO,29,0,0,1991,NA,SOCIAL HOUSING,13
YES,15,0,0,1930,NA,PRIVATE,13
NO,56,0,0,1962,NA,PRIVATE,04
NO,93,0,0,1965,NA,PRIVATE,04
NO,26,0,0,1960,NA,PRIVATE,04
NO,91,0,0,1959,NA,PRIVATE,04
NO,66,0,0,1956,2013,PRIVATE,04
NO,80,0,0,1960,NA,PRIVATE,04
YES,48,0,0,1929,NA,PRIVATE,14
NO,23,0,0,1955,NA,PRIVATE,14
YES,108,0,0,1955,2017,PRIVATE,04
NA,91,0,0,1960,NA,PRIVATE,04
NO,66,0,0,1958,2015,PRIVATE,04
NO,62,0,0,1963,2015,PRIVATE,04
NO,47,0,0,1960,2013,PRIVATE,04
YES,77,5,6.097560975609756,1965,2016,PRIVATE,04
NO,10,0,0,1917,NA,PRIVATE,04
NO,48,0,0,1910,NA,SOCIAL HOUSING,04
NO,82,0,0,1965,2017,PRIVATE,04
NO,0,12,100,1931,NA,PRIVATE,04
YES,39,1,2.5,1995,NA,TCHC,14
YES,150,27,15.254237288135593,1993,2017,SOCIAL HOUSING,14
YES,29,0,0,1996,NA,SOCIAL HOUSING,14
NO,21,0,0,1960,NA,PRIVATE,04
NO,16,0,0,1918,NA,PRIVATE,04
NO,48,0,0,1930,NA,PRIVATE,04
NO,15,0,0,1930,NA,PRIVATE,04
NO,27,0,0,1930,NA,PRIVATE,19
NO,29,0,0,1920,NA,PRIVATE,19
NO,31,0,0,1961,2012,PRIVATE,19
NO,65,0,0,1964,NA,PRIVATE,16
YES,91,0,0,1963,2013,PRIVATE,16
NO,32,0,0,1943,NA,PRIVATE,12
YES,0,175,100,1967,NA,PRIVATE,12
YES,16,2,11.11111111111111,1960,NA,PRIVATE,01
NO,17,0,0,1962,NA,PRIVATE,01
NO,16,0,0,1960,NA,PRIVATE,01
YES,194,0,0,1977,NA,SOCIAL HOUSING,01
NO,153,0,0,1965,2001,PRIVATE,01
NO,15,0,0,1940,NA,PRIVATE,20
YES,39,2,4.878048780487805,1985,NA,SOCIAL HOUSING,24
YES,295,5,1.6666666666666667,1964,2016,TCHC,13
YES,377,1,0.26455026455026454,1971,2007,TCHC,24
YES,37,2,5.128205128205128,1985,NA,SOCIAL HOUSING,24
YES,141,0,0,1967,NA,PRIVATE,24
NO,41,0,0,1965,NA,PRIVATE,06
NO,31,0,0,1955,NA,PRIVATE,06
NO,71,0,0,1959,2000,PRIVATE,06
NO,48,0,0,1966,2017,PRIVATE,06
YES,236,2,0.8403361344537815,1970,NA,TCHC,07
NO,24,0,0,1932,NA,PRIVATE,12
NO,32,0,0,1920,NA,PRIVATE,12
NO,31,0,0,1950,NA,PRIVATE,12
NA,11,0,0,1925,NA,PRIVATE,12
NO,29,0,0,1929,NA,SOCIAL HOUSING,12
YES,92,0,0,1960,NA,PRIVATE,01
NO,16,0,0,1959,NA,SOCIAL HOUSING,03
NO,132,0,0,1967,2010,PRIVATE,03
NO,16,0,0,1952,NA,PRIVATE,20
YES,163,2,1.2121212121212122,1972,2018,PRIVATE,24
NO,281,0,0,1974,2015,PRIVATE,22
YES,44,0,0,1967,NA,PRIVATE,22
YES,27,0,0,1974,NA,PRIVATE,22
YES,370,0,0,1973,NA,PRIVATE,07
YES,370,0,0,1968,2016,PRIVATE,07
YES,186,1,0.53475935828877,1965,NA,PRIVATE,08
NO,31,0,0,1966,2018,PRIVATE,08
NA,10,0,0,1959,NA,PRIVATE,08
NO,10,0,0,1959,NA,PRIVATE,08
NO,47,0,0,1964,2015,PRIVATE,08
NO,31,0,0,1955,1989,PRIVATE,12
NO,22,0,0,1955,NA,PRIVATE,12
NO,26,0,0,1952,NA,PRIVATE,03
NO,30,0,0,1950,NA,PRIVATE,03
NO,21,0,0,1955,NA,PRIVATE,03
NO,30,0,0,1960,NA,PRIVATE,03
YES,60,0,0,1957,2004,PRIVATE,03
YES,124,0,0,1968,2017,PRIVATE,16
YES,141,0,0,1983,2006,SOCIAL HOUSING,06
YES,154,0,0,1974,2012,PRIVATE,07
YES,174,4,2.247191011235955,1971,1995,TCHC,17
YES,58,10,14.705882352941178,1993,NA,SOCIAL HOUSING,04
NO,12,0,0,1957,NA,PRIVATE,08
NA,11,0,0,NA,NA,PRIVATE,08
NO,11,0,0,1955,NA,PRIVATE,08
NO,12,0,0,1956,NA,PRIVATE,08
NO,33,0,0,1955,NA,PRIVATE,12
YES,130,0,0,1955,1996,PRIVATE,12
NO,30,0,0,1953,NA,PRIVATE,09
NO,29,0,0,1950,NA,PRIVATE,09
YES,144,4,2.7027027027027026,1980,2003,TCHC,03
NO,11,0,0,1958,NA,PRIVATE,03
NO,18,0,0,1970,NA,PRIVATE,03
YES,499,2,0.39920159680638717,1972,2008,PRIVATE,15
NO,22,0,0,1954,NA,PRIVATE,02
YES,45,3,6.25,1992,2022,SOCIAL HOUSING,24
NO,76,0,0,1965,2017,PRIVATE,06
NO,12,0,0,1975,NA,PRIVATE,25
YES,128,4,3.0303030303030303,1972,1999,TCHC,04
YES,100,1,0.9900990099009901,1964,NA,PRIVATE,20
NO,79,0,0,1958,2005,PRIVATE,20
NO,110,0,0,1972,NA,PRIVATE,21
NO,33,0,0,1969,2017,PRIVATE,21
NO,21,0,0,1955,NA,PRIVATE,05
NO,32,0,0,1961,2016,PRIVATE,05
NO,28,0,0,1958,NA,PRIVATE,05
YES,164,0,0,1965,NA,PRIVATE,17
NO,189,0,0,1968,2012,PRIVATE,17
NO,122,0,0,1963,2009,PRIVATE,02
YES,127,2,1.550387596899225,1969,2012,PRIVATE,02
YES,127,1,0.78125,1994,2010,TCHC,02
YES,0,60,100,1970,2017,PRIVATE,02
YES,20,1,4.761904761904762,1960,NA,PRIVATE,21
NO,34,0,0,1955,NA,PRIVATE,19
NO,56,0,0,1960,NA,PRIVATE,19
NO,250,0,0,1967,2008,PRIVATE,19
NO,24,0,0,1955,NA,PRIVATE,13
NO,82,0,0,1968,2015,PRIVATE,13
NO,15,0,0,1987,NA,SOCIAL HOUSING,14
YES,91,3,3.1914893617021276,1992,2013,SOCIAL HOUSING,04
YES,220,1,0.4524886877828055,1965,2015,PRIVATE,04
YES,20,1,4.761904761904762,1926,NA,PRIVATE,04
NO,10,0,0,1940,NA,PRIVATE,04
YES,40,1,2.4390243902439024,1962,2017,PRIVATE,04
NO,260,0,0,1969,NA,PRIVATE,13
YES,153,2,1.2903225806451613,1980,2010,TCHC,13
YES,199,1,0.5,1975,2004,TCHC,13
YES,28,1,3.4482758620689653,1973,2006,TCHC,14
YES,78,3,3.7037037037037033,1976,2004,TCHC,13
YES,48,0,0,1934,NA,PRIVATE,13
YES,0,310,100,1974,2010,PRIVATE,03
NA,15,0,0,1952,NA,PRIVATE,02
NO,34,0,0,1952,NA,PRIVATE,02
YES,0,245,100,1967,2014,PRIVATE,05
YES,148,5,3.2679738562091507,1972,1992,TCHC,04
NO,34,0,0,1960,NA,PRIVATE,03
NO,84,0,0,1964,2006,PRIVATE,21
YES,216,5,2.262443438914027,1970,1995,TCHC,05
NO,336,0,0,1986,2012,PRIVATE,04
YES,74,1,1.3333333333333335,1962,2009,PRIVATE,20
YES,87,0,0,1959,2013,PRIVATE,20
NO,70,0,0,1960,NA,PRIVATE,21
YES,49,1,2,1954,2012,PRIVATE,21
YES,80,2,2.4390243902439024,1961,NA,PRIVATE,21
NO,32,0,0,1965,2015,PRIVATE,21
NO,29,0,0,1960,2015,PRIVATE,21
NO,21,0,0,1955,NA,PRIVATE,05
YES,190,10,5,1984,2014,SOCIAL HOUSING,10
NO,15,0,0,1928,NA,PRIVATE,12
NO,13,0,0,1937,NA,PRIVATE,20
NO,61,0,0,1956,NA,PRIVATE,20
NO,89,0,0,1965,2011,PRIVATE,12
YES,228,0,0,1987,2009,PRIVATE,10
YES,182,23,11.219512195121952,1993,NA,SOCIAL HOUSING,13
NO,33,0,0,1950,NA,PRIVATE,12
NO,17,0,0,1930,NA,PRIVATE,12
YES,52,1,1.8867924528301887,1991,NA,TCHC,10
NO,256,0,0,1982,2016,PRIVATE,10
YES,19,1,5,1993,NA,TCHC,10
YES,22,2,8.333333333333332,1970,NA,PRIVATE,10
YES,77,0,0,1960,1996,SOCIAL HOUSING,11
NO,69,0,0,1805,NA,PRIVATE,11
YES,388,0,0,2005,NA,PRIVATE,13
NO,23,0,0,1965,NA,PRIVATE,20
NO,12,0,0,NA,NA,PRIVATE,05
NA,17,0,0,1954,NA,PRIVATE,05
NO,11,0,0,1984,NA,PRIVATE,05
NO,11,0,0,1953,NA,PRIVATE,06
YES,203,0,0,1982,2005,PRIVATE,16
YES,132,0,0,1982,2005,PRIVATE,16
YES,46,2,4.166666666666666,1955,2012,PRIVATE,16
YES,0,60,100,1960,2011,PRIVATE,16
NO,54,0,0,1958,2006,PRIVATE,16
YES,58,1,1.694915254237288,1968,1980,PRIVATE,16
NO,93,0,0,1966,2006,PRIVATE,16
NO,55,0,0,1961,NA,PRIVATE,02
NO,152,0,0,1965,2006,PRIVATE,02
YES,0,109,100,1962,2017,PRIVATE,02
YES,49,2,3.9215686274509802,1950,2013,PRIVATE,02
NO,189,0,0,1972,2008,PRIVATE,04
NO,48,0,0,1965,NA,PRIVATE,04
NO,120,0,0,1962,NA,PRIVATE,04
YES,69,0,0,1959,NA,PRIVATE,04
NO,21,0,0,1959,NA,PRIVATE,04
YES,76,0,0,1967,NA,PRIVATE,04
YES,66,3,4.3478260869565215,1972,2011,TCHC,14
YES,127,4,3.0534351145038165,1978,NA,TCHC,14
NO,32,0,0,1940,NA,PRIVATE,14
NO,24,0,0,1940,NA,PRIVATE,14
YES,136,2,1.4492753623188406,1989,2014,TCHC,04
NO,111,0,0,1955,2015,PRIVATE,04
NO,74,0,0,1900,NA,PRIVATE,04
NO,36,0,0,1978,NA,PRIVATE,04
NO,96,0,0,1967,2016,PRIVATE,04
NO,11,0,0,1917,NA,PRIVATE,04
NO,66,0,0,1965,2017,PRIVATE,04
NO,21,0,0,1927,NA,PRIVATE,14
NO,21,0,0,1953,NA,PRIVATE,05
YES,105,0,0,1960,2006,PRIVATE,05
NO,206,0,0,1970,2018,PRIVATE,05
NO,29,0,0,1954,NA,PRIVATE,05
YES,231,0,0,1965,2023,PRIVATE,17
YES,137,2,1.4388489208633095,1968,2010,PRIVATE,17
NO,175,0,0,1967,2006,PRIVATE,17
NO,22,0,0,1954,NA,PRIVATE,02
NO,37,0,0,1960,NA,PRIVATE,21
NO,107,0,0,1966,NA,PRIVATE,18
NO,46,0,0,1950,NA,PRIVATE,21
NO,52,0,0,1956,NA,PRIVATE,21
NO,140,0,0,1974,NA,PRIVATE,21
YES,167,0,0,1970,2008,PRIVATE,21
YES,160,10,5.88235294117647,1989,NA,SOCIAL HOUSING,21
NO,87,0,0,1960,NA,PRIVATE,05
NO,155,0,0,1963,2015,PRIVATE,08
NO,78,0,0,1960,NA,PRIVATE,08
YES,35,1,2.7777777777777777,1941,NA,TCHC,08
YES,0,62,100,1953,2009,PRIVATE,08
YES,113,1,0.8771929824561403,1952,2007,PRIVATE,08
YES,72,5,6.493506493506493,1983,2011,SOCIAL HOUSING,13
YES,169,5,2.8735632183908044,1978,2003,TCHC,13
NO,23,0,0,1955,NA,PRIVATE,13
YES,0,138,100,1958,NA,PRIVATE,08
NO,10,0,0,1930,NA,PRIVATE,12
NO,40,0,0,1935,2016,PRIVATE,12
NO,10,0,0,1960,NA,PRIVATE,12
NO,10,0,0,1960,NA,PRIVATE,12
NO,40,0,0,1965,2013,PRIVATE,12
NO,36,0,0,1900,NA,PRIVATE,08
YES,8,4,33.33333333333333,1950,NA,PRIVATE,08
NO,55,0,0,1962,2007,PRIVATE,02
NO,14,0,0,1952,NA,PRIVATE,02
YES,323,4,1.2232415902140672,1969,1999,TCHC,13
NO,138,0,0,1967,NA,PRIVATE,21
YES,329,1,0.30303030303030304,1979,2017,TCHC,20
YES,50,0,0,1964,2015,PRIVATE,06
NO,42,0,0,1960,NA,PRIVATE,06
YES,84,0,0,1960,NA,PRIVATE,06
